label,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,2,1,2,0,0,3,10,15,210,172,347,1169,643,5211,10421,21794
1,1,1,0,2,1,0,2,1,0,12,8,269,2008,5241,9013,23441
1,2,3,0,0,0,0,0,4,4,131,191,1283,603,5083,10441,22255
1,1,1,1,0,0,2,6,15,164,235,66,484,1833,6283,9900,21009
1,3,0,2,1,0,9,92,167,1416,384,1121,3201,666,221,9244,23473
1,4,1,0,17,88,87,173,8,1846,402,136,4264,967,901,9487,21619
1,3,2,0,49,698,167,1849,493,157,43,4089,996,308,8486,10930,11730
1,4,0,1,0,0,1,1,5,2,386,126,60,1838,1583,15085,20908
1,3,0,2,2,0,4,2,3,131,140,95,1393,537,5604,10846,21238
1,2,2,1,0,0,0,1,2,48,356,293,2029,475,5823,10691,20277
1,2,2,1,0,0,0,2,22,785,233,57,2439,4823,8233,9814,13587
1,2,1,0,0,2,0,1,5,16,493,2017,4450,832,262,10126,21793
1,4,2,3,54,511,341,2257,608,498,4481,741,7302,900,1429,8668,12201
1,0,0,2,0,2,0,1,4,81,100,1052,443,353,5336,10094,22532
1,3,1,2,0,1,1,8,8,87,97,51,23,1619,4821,11679,21599
1,3,1,0,2,14,440,155,2072,207,264,5041,217,1007,8272,10010,12295
1,5,0,1,0,0,2,0,1,2,21,387,1733,783,6095,10039,20931
1,1,1,2,1,141,130,251,1758,592,224,3862,1034,875,414,9683,21031
1,1,0,3,0,13,128,71,115,72,151,1587,358,163,4967,9867,22504
1,2,0,0,1,0,4,18,28,1,329,217,213,1757,5598,9635,22197
1,4,0,1,3,18,204,146,10,48,22,1475,698,3800,1536,10059,21976
1,2,1,2,0,0,6,24,211,218,1662,406,283,290,6123,9381,21391
1,1,1,0,0,0,1,4,19,25,16,30,340,360,2560,15394,21249
1,4,1,0,2,0,0,16,27,329,192,1901,669,4672,1513,9540,21134
1,2,1,1,2,0,3,29,16,15,588,2334,5656,7879,996,10358,12120
1,2,2,0,0,1,19,16,10,2,490,213,1635,760,4922,9782,22146
1,4,2,12,21,9,2,301,94,98,69,2161,469,4740,1558,17013,13447
1,0,3,1,0,1,2,5,12,2,133,123,56,2069,5671,10207,21715
1,4,1,0,0,7,14,174,142,11,69,1873,4586,903,646,9173,22397
1,3,1,0,1,0,1,0,4,25,223,255,79,2199,4754,8934,23521
1,0,1,1,0,0,2,7,35,651,2066,365,313,3951,1255,10211,21142
1,2,0,1,1,1,0,0,2,27,142,163,240,1740,6132,11024,20525
1,1,2,2,0,21,352,170,138,967,411,331,143,947,3988,9773,22754
1,2,0,3,1,1,3,3,158,78,233,1621,1384,3500,1732,16823,14458
1,3,2,0,1,2,4,138,162,191,1579,484,244,175,6373,9802,20840
1,3,0,1,1,0,0,1,7,11,6,191,98,108,2921,13645,23007
1,1,0,0,0,1,0,2,2,15,490,2148,371,1192,4276,9506,21996
1,2,1,1,1,0,1,8,43,2,301,337,2259,1484,4401,11052,20107
1,4,0,1,0,0,5,20,85,85,172,1445,506,1520,3996,9908,22253
1,3,2,0,1,2,19,14,370,296,553,1951,883,5085,4976,13590,12255
1,0,3,1,0,0,0,1,0,7,8,15,485,1943,4919,10315,22303
1,2,2,1,0,0,74,431,534,125,1756,581,4300,927,8370,10693,12204
1,3,1,1,0,0,2,1,4,7,147,109,1526,378,4848,10204,22769
1,1,0,1,1,0,0,7,35,460,289,1911,444,3910,852,18030,14059
1,3,2,0,1,13,221,117,61,100,1336,297,155,1101,3564,10400,22629
1,2,1,1,1,8,4,18,0,214,393,2760,1473,3868,9367,11745,10145
1,3,2,5,9,20,237,131,53,1633,450,4281,485,257,579,9135,22720
1,2,1,2,1,0,7,7,4,18,181,163,1224,842,5080,10685,21783
1,2,0,0,0,0,3,10,408,302,1312,316,178,4235,823,9648,22763
1,4,1,0,0,1,0,0,5,21,548,282,57,2611,6316,14840,15314
1,1,3,1,1,2,3,4,9,500,1645,844,150,5145,1105,9766,20821
1,2,0,0,0,2,1,0,14,33,437,253,1592,672,4671,9779,22544
1,2,0,0,0,0,1,2,2,12,7,177,155,1993,5215,10439,21995
1,2,3,0,0,0,2,8,13,19,396,329,2988,5442,1030,9536,20232
1,1,3,0,0,0,0,1,1,0,20,23,411,208,2249,15289,21794
1,2,1,0,2,0,0,2,1,7,161,54,69,1907,5388,10195,22211
1,2,2,1,0,0,0,2,0,0,2,1,7,337,2093,13951,23602
1,2,3,0,0,35,299,151,1397,463,233,3013,774,420,412,9062,23736
1,2,2,1,3,17,244,179,1538,336,4009,750,314,91,2403,7615,22496
1,3,0,4,13,13,0,4,157,131,1540,598,4388,1000,2825,5993,23331
1,2,3,1,1,1,0,25,439,210,2159,729,4702,1543,8901,9936,11348
1,3,2,0,0,1,5,0,1,13,4,37,250,272,2196,15439,21777
1,3,1,0,2,0,0,1,1,10,5,255,255,2044,4758,9074,23591
1,1,1,2,0,1,11,20,12,3,283,222,294,2707,5657,9661,21125
1,3,1,0,0,1,0,0,0,22,184,249,40,2227,5954,10090,21229
1,2,1,2,0,2,9,31,360,391,1927,740,4941,1360,2723,6827,20684
1,4,1,0,0,0,1,3,1,14,204,247,209,2397,6268,9740,20911
1,2,0,2,1,1,3,1,14,26,231,189,1290,652,4925,10242,22421
1,0,0,2,0,1,2,0,0,1,9,69,499,524,2545,13784,22564
1,2,1,1,2,0,0,6,12,8,2,332,294,2543,6021,9961,20815
1,1,0,0,0,1,0,1,2,30,482,345,2329,4769,1240,8848,21952
1,2,3,0,0,0,27,26,31,473,275,85,2162,441,5260,9263,21952
1,2,3,0,1,0,0,0,6,5,6,218,167,2148,5458,9502,22484
1,2,3,0,0,28,239,293,31,1566,470,277,3669,1044,1128,10608,20642
1,3,3,0,1,0,0,14,14,397,1540,510,517,5097,985,9464,21455
1,3,2,0,0,1,2,7,4,6,170,124,71,1894,5504,10697,21515
1,2,0,1,1,375,276,26,183,1674,513,4449,602,299,8008,10927,12664
1,1,0,2,0,0,2,0,0,0,17,264,204,2119,5272,10597,21522
1,5,1,0,0,2,1,5,2,37,607,1859,383,321,5987,10151,20639
1,2,0,0,0,5,14,16,75,278,168,99,2312,4526,1062,9973,21470
1,2,0,1,1,0,1,25,273,232,260,1802,4468,994,2767,7715,21459
1,4,2,0,0,1,1,0,0,1,33,415,2152,457,5769,10123,21042
